CMDLINE .\SDL1.exe
MEM 58.078125 1721737195.1108
MEM 58.078125 1721737195.2113
MEM 58.078125 1721737195.3116
MEM 58.078125 1721737195.4120
MEM 58.078125 1721737195.5125
MEM 58.078125 1721737195.6127
MEM 58.078125 1721737195.7134
MEM 58.078125 1721737195.8140
MEM 58.078125 1721737195.9145
MEM 58.078125 1721737196.0148
MEM 58.078125 1721737196.1153
MEM 58.078125 1721737196.2156
MEM 58.078125 1721737196.3163
MEM 58.078125 1721737196.4167
MEM 58.078125 1721737196.5173
MEM 58.078125 1721737196.6177
MEM 58.078125 1721737196.7183
MEM 58.078125 1721737196.8189
MEM 58.078125 1721737196.9193
MEM 58.078125 1721737197.0198
MEM 58.078125 1721737197.1202
MEM 58.078125 1721737197.2205
MEM 58.078125 1721737197.3208
MEM 58.078125 1721737197.4213
MEM 58.078125 1721737197.5217
MEM 58.078125 1721737197.6220
MEM 58.078125 1721737197.7223
MEM 58.078125 1721737197.8228
MEM 58.078125 1721737197.9233
MEM 58.078125 1721737198.0236
MEM 58.078125 1721737198.1242
MEM 58.078125 1721737198.2247
MEM 58.078125 1721737198.3249
MEM 58.078125 1721737198.4253
MEM 58.078125 1721737198.5256
MEM 58.078125 1721737198.6262
MEM 58.078125 1721737198.7266
MEM 58.078125 1721737198.8271
MEM 58.082031 1721737198.9276
MEM 58.082031 1721737199.0282
MEM 58.082031 1721737199.1286
MEM 58.082031 1721737199.2293
MEM 58.082031 1721737199.3296
MEM 58.082031 1721737199.4303
MEM 58.082031 1721737199.5305
MEM 58.082031 1721737199.6311
MEM 58.082031 1721737199.7317
MEM 58.082031 1721737199.8322
MEM 58.082031 1721737199.9324
MEM 58.082031 1721737200.0328
MEM 58.082031 1721737200.1335
MEM 58.082031 1721737200.2338
MEM 58.082031 1721737200.3343
MEM 58.082031 1721737200.4346
MEM 58.082031 1721737200.5354
MEM 58.082031 1721737200.6356
MEM 58.082031 1721737200.7363
MEM 58.082031 1721737200.8366
MEM 58.082031 1721737200.9373
MEM 58.082031 1721737201.0379
MEM 58.082031 1721737201.1382
MEM 58.082031 1721737201.2388
MEM 58.082031 1721737201.3394
MEM 58.082031 1721737201.4399
MEM 58.082031 1721737201.5402
MEM 58.082031 1721737201.6407
MEM 58.082031 1721737201.7411
MEM 58.082031 1721737201.8417
MEM 58.082031 1721737201.9421
MEM 58.082031 1721737202.0426
MEM 58.082031 1721737202.1431
